# AMI-ENGINE — Mimari Katman Durumu

Güncel pipeline: Raw State → Ethics → Confidence → Uncertainty (HI, DE, AS, CUS) → Temporal Drift (ΔCUS, CUS_mean) → Adaptive Soft Clamp → Safety Envelope → Replay + Monte Carlo + Chaos.

---

## Katman durumu

| Katman                     | Durum | Açıklama |
|----------------------------|-------|----------|
| Deterministic safety        | OK    | Fail-safe, constraint validator, replay determinizm |
| Uncertainty awareness      | OK    | Phase 4.4: HI, DE, AS, CUS, divergence |
| Adaptive soft control      | OK    | Phase 4.6.1: soft clamp (Level 1) |
| Chaos invariants           | OK    | Phase 4.3: J/H/confidence invariant + Level 1 [0,1]^4 |
| Temporal drift detection   | OK    | Phase 5: ΔCUS, CUS_mean, preemptive escalation |
| Self-regulation metric     | OK    | Phase 5.1: Δconfidence (soft clamp sonrası) |
| Observability / Trace      | OK    | Phase 4.7.1: DecisionTrace, TraceCollector, ring buffer, JSONL |
| Real-time Dashboard        | OK    | Phase 4.7.2: Streamlit + Plotly, CUS/clamp/drift/chaos panelleri |
| Learning feedback loop     | OK    | Phase 6.0: offline loop, L=fail_safe+CUS+clamp, config adayları |
| Learning visualization     | OK    | Phase 6.1: loss/metric/param evrimi, optimization_history.jsonl |
| Scenario / world generator | OK    | Phase 6.2: safe/balanced/critical/chaos profilleri, curriculum |
| Self-calibrating policy    | OK    | Phase 6.0: policy_optimizer, parametre sınırları, önerilen config |
| Online adaptation         | -     | İleride: gerçek zamanlı eşik güncelleme |

OK = tamamlandı, - = henüz yok.
